GEO_ID,NAME,S1501_C01_001E
53001,"Adams County, Washington",1986
53003,"Asotin County, Washington",1631
53005,"Benton County, Washington",16680
53007,"Chelan County, Washington",6228
53009,"Clallam County, Washington",4763
53011,"Clark County, Washington",38395
53013,"Columbia County, Washington",170
53015,"Cowlitz County, Washington",8065
53017,"Douglas County, Washington",3439
53019,"Ferry County, Washington",551
53021,"Franklin County, Washington",8767
53023,"Garfield County, Washington",78
53025,"Grant County, Washington",9222
53027,"Grays Harbor County, Washington",5131
53029,"Island County, Washington",7183
53031,"Jefferson County, Washington",1446
53033,"King County, Washington",180320
53035,"Kitsap County, Washington",26416
53037,"Kittitas County, Washington",10113
53039,"Klickitat County, Washington",1363
53041,"Lewis County, Washington",5768
53043,"Lincoln County, Washington",665
53045,"Mason County, Washington",4586
53047,"Okanogan County, Washington",3017
53049,"Pacific County, Washington",1308
53051,"Pend Oreille County, Washington",813
53053,"Pierce County, Washington",81593
53055,"San Juan County, Washington",856
53057,"Skagit County, Washington",9797
53059,"Skamania County, Washington",707
53061,"Snohomish County, Washington",62936
53063,"Spokane County, Washington",48132
53065,"Stevens County, Washington",3066
53067,"Thurston County, Washington",22974
53069,"Wahkiakum County, Washington",271
53071,"Walla Walla County, Washington",7870
53073,"Whatcom County, Washington",31295
53075,"Whitman County, Washington",17419
53077,"Yakima County, Washington",23917
